T (Â°C),response Ch0,response Ch1
5,0.98267598337814,1.04006470231115
10,0.987280268914172,1.02983541661469
15,0.992055083544132,1.01960613091822
20,0.99631831089231,1.00971782141164
25,1,1
30,1.00365106193118,0.990111690493417
35,1.00706164380972,0.980564357176717
40,1.01047222568826,0.971017023860017
45,1.01371227847288,0.961640178638258
50,1.01695233125749,0.951922357226616
55,1.02019238404211,0.942375023909916
60,1.02343243682672,0.932998178688156
65,1.02667248961134,0.923280357276515
70,1.02991254239595,0.914244488244638
